Metric,Min,Q1,Median,Q3,Max
Stalled on L2 Data,0.32,2.1,11.97,26.46,34.35
Stalled on L2 Req,0.0,0.0,0.0,0.0,15.08
Tag RAM Stall (Read),0.0,0.0,0.0,0.0,0.0
Tag RAM Stall (Write),0.0,0.0,0.0,0.0,0.0
Tag RAM Stall (Atomic),0.0,0.0,0.0,0.0,0.0
