Metric,Avg,Min,Max,Unit
Global/Generic Instr,644.09,2.0,1543.0,Instr per wave
Global/Generic Read,344.91,0.0,832.0,Instr per wave
Global/Generic Write,299.19,2.0,711.0,Instr per wave
Global/Generic Atomic,0.0,0.0,0.0,Instr per wave
Spill/Stack Instr,0.0,0.0,0.0,Instr per wave
Spill/Stack Read,0.0,0.0,0.0,Instr per wave
Spill/Stack Write,0.0,0.0,0.0,Instr per wave
Spill/Stack Atomic,0.0,0.0,0.0,Instr per wave
