Dispatch_ID,Kernel_Name,GPU_ID
0,"_ZN12rocrand_impl6system6detail14kernel_wrapperITnDaXadL_ZNS_4host19init_xorwow_
enginesE4dim3S4_S4_S4_PN14rocrand_device13xorwow_engineEjjyyEENS3_33static_block
_size_config_providerILj256EEEjLb0EJS7_jjyyEEEvDpT3_.kd",2
1,"_ZN12rocrand_impl6system6detail14kernel_wrapperITnDaXadL_ZNS_4host15generate_xor
wowINS3_23default_config_providerIL16rocrand_rng_type401EEELb0EfNS3_20uniform_di
stributionIfjEEEEv4dim3SA_SA_SA_PN14rocrand_device13xorwow_engineEjPT1_mT2_EES7_
fLb0EJSD_jPfmS9_EEEvDpT3_.kd",2
2,__amd_rocclr_initHeap.kd,2
3,"void rocprim::detail::block_reduce_kernel<false, rocprim::detail::wrapped_reduce
_config<rocprim::default_config, int>, int, rocprim::transform_iterator<rocprim:
:counting_iterator<int, long>, conversion_op, bool>, int*, int, hipcub::detail::
convert_binary_result_type_wrapper<int, rocprim::transform_iterator<rocprim::...",2
4,"void rocprim::detail::block_reduce_kernel<true, rocprim::detail::wrapped_reduce_
config<rocprim::default_config, int>, int, int*, int*, int, hipcub::detail::conv
ert_binary_result_type_wrapper<int, rocprim::transform_iterator<rocprim::countin
g_iterator<int, long>, conversion_op, bool>, int*, hipcub::Sum> >(int*, unsig...",2
5,"void rocrand_impl::host::generate_sobol_kernel<1u, false, rocrand_device::sobol3
2_engine<true>, unsigned int, float, rocrand_impl::host::sobol_uniform_distribut
ion<float>, 256>(float*, unsigned long, unsigned int const*, unsigned int const*
, unsigned int, rocrand_impl::host::sobol_uniform_distribution<float>) [clone...",2
6,"void rocprim::detail::block_reduce_kernel<false, rocprim::detail::wrapped_reduce
_config<rocprim::default_config, int>, int, rocprim::transform_iterator<rocprim:
:counting_iterator<int, long>, conversion_op, bool>, int*, int, hipcub::detail::
convert_binary_result_type_wrapper<int, rocprim::transform_iterator<rocprim::...",2
7,"void rocprim::detail::block_reduce_kernel<true, rocprim::detail::wrapped_reduce_
config<rocprim::default_config, int>, int, int*, int*, int, hipcub::detail::conv
ert_binary_result_type_wrapper<int, rocprim::transform_iterator<rocprim::countin
g_iterator<int, long>, conversion_op, bool>, int*, hipcub::Sum> >(int*, unsig...",2
