Metric,Avg,Unit,Peak,Pct of Peak
VALU FLOPs,58.97,Gflop,14540.8,0.41
VALU IOPs,473.17,Giop,14540.8,3.25
MFMA FLOPs (BF16),0.0,Gflop,465305.6,0.0
MFMA FLOPs (F16),0.0,Gflop,465305.6,0.0
MFMA FLOPs (F32),0.0,Gflop,29081.6,0.0
MFMA FLOPs (F64),0.0,Gflop,29081.6,0.0
MFMA IOPs (INT8),0.0,Giop,930611.2,0.0
