Metric,Avg,Min,Max,Unit
Req,237.75,0.0,1875.0,Req per wave
Hits,203.56,0.0,1611.0,Req per wave
Misses - Non Duplicated,12.29,0.0,97.74,Req per wave
Misses- Duplicated,21.26,0.0,161.16,Req per wave
Cache Hit Rate,64.7,0.0,98.18,Pct
Read Req (Total),174.0,0.0,1365.0,Req per wave
Atomic Req,0.0,0.0,0.0,Req per wave
Read Req (1 DWord),1.25,0.0,3.0,Req per wave
Read Req (2 DWord),1.88,0.0,3.0,Req per wave
Read Req (4 DWord),85.88,0.0,681.0,Req per wave
Read Req (8 DWord),0.0,0.0,0.0,Req per wave
Read Req (16 DWord),85.0,0.0,680.0,Req per wave
