Metric,Avg,Unit
Utilization,25.46,Pct
Bandwidth,8.57,Pct
Hit Rate,71.2,Pct
L2-Fabric Read BW,115.42,Gb/s
L2-Fabric Write and Atomic BW,317.54,Gb/s
