Channel,Min,Q1,Median,Q3,Max
0.0,0.0,164.61,223.44,391.96,741.19
1.0,232.55,242.67,272.08,454.59,922.28
2.0,0.0,209.93,226.08,460.43,751.2
3.0,0.0,171.22,244.2,412.53,752.78
4.0,155.8,251.08,273.9,417.43,761.82
5.0,204.12,241.41,271.45,411.0,765.33
6.0,251.62,271.0,291.48,490.39,739.37
7.0,176.88,249.94,378.43,680.29,2230.37
8.0,0.0,162.79,235.09,394.35,666.35
9.0,232.0,238.89,303.83,458.1,896.63
10.0,113.78,204.29,229.68,447.88,710.89
11.0,0.0,228.49,246.64,413.22,709.56
12.0,161.5,227.25,264.59,418.57,758.75
13.0,132.5,244.19,257.49,413.78,728.79
14.0,244.9,261.19,280.69,435.87,694.63
15.0,169.5,245.48,310.16,602.79,1366.06
16.0,,,,,
17.0,,,,,
18.0,,,,,
19.0,,,,,
20.0,,,,,
21.0,,,,,
22.0,,,,,
23.0,,,,,
24.0,,,,,
25.0,,,,,
26.0,,,,,
27.0,,,,,
28.0,,,,,
29.0,,,,,
30.0,,,,,
31.0,,,,,
32.0,,,,,
33.0,,,,,
34.0,,,,,
35.0,,,,,
36.0,,,,,
37.0,,,,,
38.0,,,,,
39.0,,,,,
40.0,,,,,
41.0,,,,,
42.0,,,,,
43.0,,,,,
44.0,,,,,
45.0,,,,,
46.0,,,,,
47.0,,,,,
48.0,,,,,
49.0,,,,,
50.0,,,,,
51.0,,,,,
52.0,,,,,
53.0,,,,,
54.0,,,,,
55.0,,,,,
56.0,,,,,
57.0,,,,,
58.0,,,,,
59.0,,,,,
60.0,,,,,
61.0,,,,,
62.0,,,,,
63.0,,,,,
