Channel,L2 Read,L2 Write,L2 Atomic
0.0,21.14,93.98,0.0
1.0,21.82,96.29,0.0
2.0,21.69,94.4,0.0
3.0,22.39,98.07,0.0
4.0,20.95,94.25,0.0
5.0,22.42,96.37,0.0
6.0,21.7,94.22,0.0
7.0,22.08,99.35,0.0
8.0,21.17,97.55,0.0
9.0,21.81,105.99,0.0
10.0,21.2,97.1,0.0
11.0,21.61,105.52,0.0
12.0,20.51,97.33,0.0
13.0,22.07,106.06,0.0
14.0,21.46,96.84,0.0
15.0,21.57,105.63,0.0
16.0,,,
17.0,,,
18.0,,,
19.0,,,
20.0,,,
21.0,,,
22.0,,,
23.0,,,
24.0,,,
25.0,,,
26.0,,,
27.0,,,
28.0,,,
29.0,,,
30.0,,,
31.0,,,
32.0,,,
33.0,,,
34.0,,,
35.0,,,
36.0,,,
37.0,,,
38.0,,,
39.0,,,
40.0,,,
41.0,,,
42.0,,,
43.0,,,
44.0,,,
45.0,,,
46.0,,,
47.0,,,
48.0,,,
49.0,,,
50.0,,,
51.0,,,
52.0,,,
53.0,,,
54.0,,,
55.0,,,
56.0,,,
57.0,,,
58.0,,,
59.0,,,
60.0,,,
61.0,,,
62.0,,,
63.0,,,
