Metric,Avg,Min,Max,Unit
VALU,6492.02,69.5,33491.67,Instr per wave
VMEM,644.09,2.0,1543.0,Instr per wave
LDS,94.28,0.0,738.0,Instr per wave
MFMA,0.0,0.0,0.0,Instr per wave
SALU,3149.15,9.0,11101.42,Instr per wave
SMEM,174.0,0.0,1365.0,Instr per wave
Branch,158.99,2.0,724.92,Instr per wave
