Metric,Avg,Min,Max,Unit
Read BW,29118.47,0.63,85142.48,Bytes per wave
HBM Read Traffic,100.34,97.36,105.84,Pct
Remote Read Traffic,0.4,0.0,2.64,Pct
Uncached Read Traffic,16.34,0.01,75.0,Pct
Write and Atomic BW,57799.84,512.0,166485.82,Bytes per wave
HBM Write and Atomic Traffic,99.64,97.21,100.0,Pct
Remote Write and Atomic Traffic,0.36,0.0,2.79,Pct
Atomic Traffic,0.0,0.0,0.0,Pct
Uncached Write and Atomic Traffic,0.01,0.0,0.05,Pct
Read Latency,378.45,189.55,742.3,Cycles
Write and Atomic Latency,306.43,181.64,734.81,Cycles
Atomic Latency,,,,Cycles
Read Stall,,,,Pct
Write Stall,,,,Pct
