Channel,Min,Q1,Median,Q3,Max
0.0,172.28,195.9,214.27,280.19,674.47
1.0,178.33,205.55,225.83,286.12,710.13
2.0,180.9,204.79,227.26,293.27,733.63
3.0,183.77,212.26,235.32,290.45,736.06
4.0,182.43,203.58,227.65,285.36,695.12
5.0,181.08,209.27,229.33,287.53,709.93
6.0,194.22,216.77,237.97,303.9,750.7
7.0,188.09,213.1,238.8,302.91,738.29
8.0,172.44,192.95,219.63,279.15,709.51
9.0,180.45,201.56,230.08,290.86,732.31
10.0,175.56,202.65,225.8,285.58,744.04
11.0,180.52,206.66,235.01,293.42,753.01
12.0,179.18,206.73,242.03,285.78,719.28
13.0,178.85,203.93,235.94,289.18,738.63
14.0,188.23,215.1,243.18,294.54,776.73
15.0,180.6,209.05,234.62,290.65,766.76
16.0,,,,,
17.0,,,,,
18.0,,,,,
19.0,,,,,
20.0,,,,,
21.0,,,,,
22.0,,,,,
23.0,,,,,
24.0,,,,,
25.0,,,,,
26.0,,,,,
27.0,,,,,
28.0,,,,,
29.0,,,,,
30.0,,,,,
31.0,,,,,
32.0,,,,,
33.0,,,,,
34.0,,,,,
35.0,,,,,
36.0,,,,,
37.0,,,,,
38.0,,,,,
39.0,,,,,
40.0,,,,,
41.0,,,,,
42.0,,,,,
43.0,,,,,
44.0,,,,,
45.0,,,,,
46.0,,,,,
47.0,,,,,
48.0,,,,,
49.0,,,,,
50.0,,,,,
51.0,,,,,
52.0,,,,,
53.0,,,,,
54.0,,,,,
55.0,,,,,
56.0,,,,,
57.0,,,,,
58.0,,,,,
59.0,,,,,
60.0,,,,,
61.0,,,,,
62.0,,,,,
63.0,,,,,
