Metric,Avg,Min,Max,Unit
IPC,0.72,0.18,1.72,Instr/cycle
IPC (Issued),1.0,0.99,1.0,Instr/cycle
SALU Utilization,9.32,0.0,36.46,Pct
VALU Utilization,24.93,0.02,97.94,Pct
VMEM Utilization,1.1,0.0,4.02,Pct
Branch Utilization,0.79,0.0,3.08,Pct
VALU Active Threads,42.86,25.63,64.0,Threads
MFMA Utilization,0.0,0.0,0.0,Pct
MFMA Instr Cycles,,,,Cycles/instr
VMEM Latency,469.86,262.8,1123.44,Cycles
SMEM Latency,435.56,131.98,920.0,Cycles
